,current_status,geometry,route_id,vehicle_id,latitude,longitude,bearing,timestamp,speed,time
245,IN_TRANSIT_TO,POINT (-118.43434143066406 34.05038833618164),4-13167,8809,34.05038833618164,-118.43434143066406,58.078590393066406,1678708540.0,13.858240127563477,2023-03-13 04:55:40-07:00
246,STOPPED_AT,POINT (-118.49052429199219 34.02016067504883),4-13167,8804,34.02016067504883,-118.4905242919922,47.0,1678708590.0,4.82803201675415,2023-03-13 04:56:30-07:00
247,STOPPED_AT,POINT (-118.37649536132812 34.07053756713867),4-13167,8832,34.07053756713867,-118.37649536132812,179.0,1678708588.0,10.01369571685791,2023-03-13 04:56:28-07:00
248,STOPPED_AT,POINT (-118.29212951660156 34.09095001220703),4-13167,8834,34.09095001220703,-118.29212951660156,269.8316955566406,1678708588.0,4.738624095916748,2023-03-13 04:56:28-07:00
249,IN_TRANSIT_TO,POINT (-118.40120697021484 34.073455810546875),4-13167,9525,34.073455810546875,-118.40120697021484,230.35861206054688,1678708589.0,7.733791351318359,2023-03-13 04:56:29-07:00
250,IN_TRANSIT_TO,POINT (-118.26209259033203 34.035953521728516),4-13167,9540,34.03595352172852,-118.26209259033205,33.94395446777344,1678708500.0,11.175999641418455,2023-03-13 04:55:00-07:00
251,STOPPED_AT,POINT (-118.23831176757812 34.05830764770508),4-13167,9576,34.05830764770508,-118.23831176757812,267.0,1678708588.0,11.39951992034912,2023-03-13 04:56:28-07:00
252,STOPPED_AT,POINT (-118.25762939453125 34.076725006103516),4-13167,9583,34.07672500610352,-118.25762939453124,117.6225814819336,1678708588.0,0.0894080027937889,2023-03-13 04:56:28-07:00
253,IN_TRANSIT_TO,POINT (-118.49314880371094 34.018104553222656),4-13167,8718,34.018104553222656,-118.49314880371094,225.1536407470703,1678708268.0,9.387840270996094,2023-03-13 04:51:08-07:00
254,STOPPED_AT,POINT (-118.36781311035156 34.090702056884766),4-13167,8723,34.090702056884766,-118.36781311035156,89.03781127929688,1678708589.0,0.8046719431877136,2023-03-13 04:56:29-07:00
255,STOPPED_AT,POINT (-118.35587310791016 34.034141540527344),4-13167,8729,34.034141540527344,-118.35587310791016,266.0,1678708565.0,24.00604820251465,2023-03-13 04:56:05-07:00
256,IN_TRANSIT_TO,POINT (-118.43434143066406 34.05038833618164),4-13167,8809,34.05038833618164,-118.43434143066406,58.078590393066406,1678708540.0,13.858240127563477,2023-03-13 04:55:40-07:00
257,STOPPED_AT,POINT (-118.49052429199219 34.02016067504883),4-13167,8804,34.02016067504883,-118.4905242919922,47.0,1678708590.0,4.82803201675415,2023-03-13 04:56:30-07:00
258,STOPPED_AT,POINT (-118.37649536132812 34.07053756713867),4-13167,8832,34.07053756713867,-118.37649536132812,179.0,1678708588.0,10.01369571685791,2023-03-13 04:56:28-07:00
259,STOPPED_AT,POINT (-118.29212951660156 34.09095001220703),4-13167,8834,34.09095001220703,-118.29212951660156,269.8316955566406,1678708588.0,4.738624095916748,2023-03-13 04:56:28-07:00
260,IN_TRANSIT_TO,POINT (-118.40462493896484 34.07108688354492),4-13167,9525,34.07108688354492,-118.40462493896484,230.37646484375,1678708659.0,4.336287975311279,2023-03-13 04:57:39-07:00
261,IN_TRANSIT_TO,POINT (-118.25924682617188 34.039306640625),4-13167,9540,34.039306640625,-118.25924682617188,36.7514877319336,1678708614.0,11.175999641418455,2023-03-13 04:56:54-07:00
262,STOPPED_AT,POINT (-118.24024963378906 34.05757522583008),4-13167,9576,34.05757522583008,-118.24024963378906,217.0,1678708657.0,9.70076847076416,2023-03-13 04:57:37-07:00
263,IN_TRANSIT_TO,POINT (-118.2530517578125 34.07476806640625),4-13167,9583,34.07476806640625,-118.2530517578125,118.3769302368164,1678708658.0,13.232383728027344,2023-03-13 04:57:38-07:00
264,IN_TRANSIT_TO,POINT (-118.49314880371094 34.018104553222656),4-13167,8718,34.018104553222656,-118.49314880371094,225.1536407470703,1678708268.0,9.387840270996094,2023-03-13 04:51:08-07:00
265,STOPPED_AT,POINT (-118.2309341430664 34.05734634399414),4-13167,8730,34.05734634399414,-118.2309341430664,,1678708658.0,0.0447040013968944,2023-03-13 04:57:38-07:00
266,STOPPED_AT,POINT (-118.36187744140625 34.09077835083008),4-13167,8723,34.09077835083008,-118.36187744140624,89.14350128173828,1678708659.0,,2023-03-13 04:57:39-07:00
267,STOPPED_AT,POINT (-118.35587310791016 34.034141540527344),4-13167,8729,34.034141540527344,-118.35587310791016,266.0,1678708592.0,24.00604820251465,2023-03-13 04:56:32-07:00
268,IN_TRANSIT_TO,POINT (-118.43434143066406 34.05038833618164),4-13167,8809,34.05038833618164,-118.43434143066406,58.078590393066406,1678708540.0,13.858240127563477,2023-03-13 04:55:40-07:00
269,STOPPED_AT,POINT (-118.48805236816406 34.02217483520508),4-13167,8804,34.02217483520508,-118.48805236816406,45.0,1678708660.0,3.889247894287109,2023-03-13 04:57:40-07:00
270,STOPPED_AT,POINT (-118.37635040283203 34.06639862060547),4-13167,8832,34.06639862060547,-118.37635040283205,178.0,1678708658.0,7.197343826293945,2023-03-13 04:57:38-07:00
271,STOPPED_AT,POINT (-118.29592895507812 34.090911865234375),4-13167,8834,34.090911865234375,-118.29592895507812,269.4450988769531,1678708658.0,0.4470399916172027,2023-03-13 04:57:38-07:00
272,IN_TRANSIT_TO,POINT (-118.40462493896484 34.07108688354492),4-13167,9525,34.07108688354492,-118.40462493896484,230.37646484375,1678708659.0,4.336287975311279,2023-03-13 04:57:39-07:00
273,IN_TRANSIT_TO,POINT (-118.25924682617188 34.039306640625),4-13167,9540,34.039306640625,-118.25924682617188,36.7514877319336,1678708614.0,11.175999641418455,2023-03-13 04:56:54-07:00
274,STOPPED_AT,POINT (-118.24024963378906 34.05757522583008),4-13167,9576,34.05757522583008,-118.24024963378906,217.0,1678708657.0,9.70076847076416,2023-03-13 04:57:37-07:00
275,IN_TRANSIT_TO,POINT (-118.2530517578125 34.07476806640625),4-13167,9583,34.07476806640625,-118.2530517578125,118.3769302368164,1678708658.0,13.232383728027344,2023-03-13 04:57:38-07:00
276,IN_TRANSIT_TO,POINT (-118.49314880371094 34.018104553222656),4-13167,8718,34.018104553222656,-118.49314880371094,225.1536407470703,1678708268.0,9.387840270996094,2023-03-13 04:51:08-07:00
277,STOPPED_AT,POINT (-118.2309341430664 34.05734634399414),4-13167,8730,34.05734634399414,-118.2309341430664,,1678708658.0,0.0447040013968944,2023-03-13 04:57:38-07:00
278,STOPPED_AT,POINT (-118.36187744140625 34.09077835083008),4-13167,8723,34.09077835083008,-118.36187744140624,89.14350128173828,1678708659.0,,2023-03-13 04:57:39-07:00
279,STOPPED_AT,POINT (-118.35587310791016 34.034141540527344),4-13167,8729,34.034141540527344,-118.35587310791016,266.0,1678708592.0,24.00604820251465,2023-03-13 04:56:32-07:00
280,IN_TRANSIT_TO,POINT (-118.43434143066406 34.05038833618164),4-13167,8809,34.05038833618164,-118.43434143066406,58.078590393066406,1678708540.0,13.858240127563477,2023-03-13 04:55:40-07:00
281,STOPPED_AT,POINT (-118.48805236816406 34.02217483520508),4-13167,8804,34.02217483520508,-118.48805236816406,45.0,1678708660.0,3.889247894287109,2023-03-13 04:57:40-07:00
282,STOPPED_AT,POINT (-118.37635040283203 34.06639862060547),4-13167,8832,34.06639862060547,-118.37635040283205,178.0,1678708658.0,7.197343826293945,2023-03-13 04:57:38-07:00
283,STOPPED_AT,POINT (-118.29592895507812 34.090911865234375),4-13167,8834,34.090911865234375,-118.29592895507812,269.4450988769531,1678708658.0,0.4470399916172027,2023-03-13 04:57:38-07:00
284,IN_TRANSIT_TO,POINT (-118.40575408935547 34.07030487060547),4-13167,9525,34.07030487060547,-118.40575408935548,230.2115020751953,1678708719.0,1.1623039245605469,2023-03-13 04:58:39-07:00
285,IN_TRANSIT_TO,POINT (-118.25924682617188 34.039306640625),4-13167,9540,34.039306640625,-118.25924682617188,36.7514877319336,1678708614.0,11.175999641418455,2023-03-13 04:56:54-07:00
286,STOPPED_AT,POINT (-118.24264526367188 34.05497741699219),4-13167,9576,34.05497741699219,-118.24264526367188,221.0,1678708717.0,,2023-03-13 04:58:37-07:00
287,IN_TRANSIT_TO,POINT (-118.25057220458984 34.069698333740234),4-13167,9583,34.069698333740234,-118.25057220458984,178.10362243652344,1678708728.0,14.975839614868164,2023-03-13 04:58:48-07:00
288,IN_TRANSIT_TO,POINT (-118.49314880371094 34.018104553222656),4-13167,8718,34.018104553222656,-118.49314880371094,225.1536407470703,1678708268.0,9.387840270996094,2023-03-13 04:51:08-07:00
289,STOPPED_AT,POINT (-118.2309341430664 34.05734634399414),4-13167,8730,34.05734634399414,-118.2309341430664,,1678708718.0,0.0447040013968944,2023-03-13 04:58:38-07:00
290,STOPPED_AT,POINT (-118.35761260986328 34.09076690673828),4-13167,8723,34.09076690673828,-118.35761260986328,90.28564453125,1678708719.0,0.0447040013968944,2023-03-13 04:58:39-07:00
291,STOPPED_AT,POINT (-118.35587310791016 34.034141540527344),4-13167,8729,34.034141540527344,-118.35587310791016,266.0,1678708592.0,24.00604820251465,2023-03-13 04:56:32-07:00
292,IN_TRANSIT_TO,POINT (-118.43434143066406 34.05038833618164),4-13167,8809,34.05038833618164,-118.43434143066406,58.078590393066406,1678708540.0,13.858240127563477,2023-03-13 04:55:40-07:00
293,STOPPED_AT,POINT (-118.4859390258789 34.02385330200195),4-13167,8804,34.02385330200195,-118.4859390258789,48.0,1678708720.0,0.0447040013968944,2023-03-13 04:58:40-07:00
294,STOPPED_AT,POINT (-118.376220703125 34.06310272216797),4-13167,8832,34.06310272216797,-118.376220703125,179.0,1678708718.0,,2023-03-13 04:58:38-07:00
295,STOPPED_AT,POINT (-118.29814147949219 34.09088897705078),4-13167,8834,34.09088897705078,-118.2981414794922,269.4450988769531,1678708718.0,10.147808074951172,2023-03-13 04:58:38-07:00
296,IN_TRANSIT_TO,POINT (-118.40575408935547 34.07030487060547),4-13167,9525,34.07030487060547,-118.40575408935548,230.2115020751953,1678708719.0,1.1623039245605469,2023-03-13 04:58:39-07:00
297,IN_TRANSIT_TO,POINT (-118.25924682617188 34.039306640625),4-13167,9540,34.039306640625,-118.25924682617188,36.7514877319336,1678708614.0,11.175999641418455,2023-03-13 04:56:54-07:00
298,STOPPED_AT,POINT (-118.24264526367188 34.05497741699219),4-13167,9576,34.05497741699219,-118.24264526367188,221.0,1678708717.0,,2023-03-13 04:58:37-07:00
299,IN_TRANSIT_TO,POINT (-118.25057220458984 34.069698333740234),4-13167,9583,34.069698333740234,-118.25057220458984,178.10362243652344,1678708728.0,14.975839614868164,2023-03-13 04:58:48-07:00
300,IN_TRANSIT_TO,POINT (-118.49314880371094 34.018104553222656),4-13167,8718,34.018104553222656,-118.49314880371094,225.1536407470703,1678708268.0,9.387840270996094,2023-03-13 04:51:08-07:00
301,STOPPED_AT,POINT (-118.2309341430664 34.05734634399414),4-13167,8730,34.05734634399414,-118.2309341430664,,1678708718.0,0.0447040013968944,2023-03-13 04:58:38-07:00
302,STOPPED_AT,POINT (-118.35761260986328 34.09076690673828),4-13167,8723,34.09076690673828,-118.35761260986328,90.28564453125,1678708719.0,0.0447040013968944,2023-03-13 04:58:39-07:00
303,STOPPED_AT,POINT (-118.35587310791016 34.034141540527344),4-13167,8729,34.034141540527344,-118.35587310791016,266.0,1678708592.0,24.00604820251465,2023-03-13 04:56:32-07:00
304,IN_TRANSIT_TO,POINT (-118.43434143066406 34.05038833618164),4-13167,8809,34.05038833618164,-118.43434143066406,58.078590393066406,1678708540.0,13.858240127563477,2023-03-13 04:55:40-07:00
305,STOPPED_AT,POINT (-118.4859390258789 34.02385330200195),4-13167,8804,34.02385330200195,-118.4859390258789,48.0,1678708720.0,0.0447040013968944,2023-03-13 04:58:40-07:00
306,STOPPED_AT,POINT (-118.376220703125 34.06310272216797),4-13167,8832,34.06310272216797,-118.376220703125,179.0,1678708718.0,,2023-03-13 04:58:38-07:00
307,STOPPED_AT,POINT (-118.29814147949219 34.09088897705078),4-13167,8834,34.09088897705078,-118.2981414794922,269.4450988769531,1678708718.0,10.147808074951172,2023-03-13 04:58:38-07:00
308,IN_TRANSIT_TO,POINT (-118.40933990478516 34.06782150268555),4-13167,9525,34.06782150268555,-118.40933990478516,230.2115020751953,1678708789.0,14.215871810913086,2023-03-13 04:59:49-07:00
309,IN_TRANSIT_TO,POINT (-118.25924682617188 34.039306640625),4-13167,9540,34.039306640625,-118.25924682617188,36.7514877319336,1678708614.0,11.175999641418455,2023-03-13 04:56:54-07:00
310,STOPPED_AT,POINT (-118.2472915649414 34.04990005493164),4-13167,9576,34.04990005493164,-118.2472915649414,218.0,1678708787.0,12.830048561096191,2023-03-13 04:59:47-07:00
311,IN_TRANSIT_TO,POINT (-118.24817657470703 34.06410598754883),4-13167,9583,34.06410598754883,-118.24817657470705,135.498046875,1678708788.0,17.032222747802734,2023-03-13 04:59:48-07:00
312,IN_TRANSIT_TO,POINT (-118.49314880371094 34.018104553222656),4-13167,8718,34.018104553222656,-118.49314880371094,225.1536407470703,1678708268.0,9.387840270996094,2023-03-13 04:51:08-07:00
313,STOPPED_AT,POINT (-118.2309341430664 34.05734634399414),4-13167,8730,34.05734634399414,-118.2309341430664,,1678708788.0,,2023-03-13 04:59:48-07:00
314,IN_TRANSIT_TO,POINT (-118.353271484375 34.090736389160156),4-13167,8723,34.09073638916016,-118.353271484375,90.57608795166016,1678708789.0,11.891263961791992,2023-03-13 04:59:49-07:00
315,STOPPED_AT,POINT (-118.41011810302734 34.03050994873047),4-13167,8729,34.03050994873047,-118.41011810302734,286.0,1678708784.0,24.94483184814453,2023-03-13 04:59:44-07:00
316,IN_TRANSIT_TO,POINT (-118.43434143066406 34.05038833618164),4-13167,8809,34.05038833618164,-118.43434143066406,58.078590393066406,1678708540.0,13.858240127563477,2023-03-13 04:55:40-07:00
317,IN_TRANSIT_TO,POINT (-118.48439025878906 34.02513122558594),4-13167,8804,34.02513122558594,-118.48439025878906,45.7503547668457,1678708790.0,5.945631980895996,2023-03-13 04:59:50-07:00
318,STOPPED_AT,POINT (-118.37628173828125 34.05754470825195),4-13167,8832,34.05754470825195,-118.37628173828124,180.0,1678708788.0,10.192511558532717,2023-03-13 04:59:48-07:00
