current_status,geometry,route_id,vehicle_id,latitude,longitude,bearing,timestamp,speed,time
STOPPED_AT,POINT (-118.31730651855469 34.09067153930664),4-13167,9586,34.09067153930664,-118.31730651855469,89.90155029296875,1678748849.0,nan,2023-03-13 16:07:29-07:00
STOPPED_AT,POINT (-118.25582885742188 34.04450607299805),4-13167,8719,34.04450607299805,-118.25582885742188,217.16737365722656,1678748848.0,6.571487903594971,2023-03-13 16:07:28-07:00
IN_TRANSIT_TO,POINT (-118.49446105957031 34.01445770263672),4-13167,8733,34.01445770263672,-118.49446105957031,226.233154296875,1678748846.0,0.044704001396894455,2023-03-13 16:07:26-07:00
STOPPED_AT,POINT (-118.49444580078125 34.019039154052734),4-13167,8730,34.019039154052734,-118.49444580078125,315.7952880859375,1678748850.0,0.044704001396894455,2023-03-13 16:07:30-07:00
IN_TRANSIT_TO,POINT (-118.25040435791016 34.070091247558594),4-13167,8729,34.070091247558594,-118.25040435791016,358.10357666015625,1678748847.0,11.310111045837402,2023-03-13 16:07:27-07:00
IN_TRANSIT_TO,POINT (-118.44236755371094 34.048309326171875),4-13167,8763,34.048309326171875,-118.44236755371094,247.67034912109375,1678748846.0,8.985504150390625,2023-03-13 16:07:26-07:00
STOPPED_AT,POINT (-118.30097961425781 34.09089279174805),4-13167,8784,34.09089279174805,-118.30097961425781,269.5574035644531,1678748850.0,nan,2023-03-13 16:07:30-07:00
IN_TRANSIT_TO,POINT (-118.43701171875 34.04956817626953),4-13167,8793,34.04956817626953,-118.43701171875,71.07217407226562,1678748850.0,0.044704001396894455,2023-03-13 16:07:30-07:00
STOPPED_AT,POINT (-118.28663635253906 34.090843200683594),4-13167,8796,34.090843200683594,-118.28663635253906,90.1872329711914,1678748849.0,4.112767696380615,2023-03-13 16:07:29-07:00
IN_TRANSIT_TO,POINT (-118.30957794189453 34.090736389160156),4-13167,3953,34.090736389160156,-118.30957794189453,89.70320129394531,1678748847.0,0.35763201117515564,2023-03-13 16:07:27-07:00
STOPPED_AT,POINT (-118.41019439697266 34.067108154296875),4-13167,8810,34.067108154296875,-118.41019439697266,50.22051239013672,1678748849.0,5.856224060058594,2023-03-13 16:07:29-07:00
IN_TRANSIT_TO,POINT (-118.34488677978516 34.09063720703125),4-13167,8808,34.09063720703125,-118.34488677978516,90.41763305664062,1678748849.0,0.6258559823036194,2023-03-13 16:07:29-07:00
STOPPED_AT,POINT (-118.26519012451172 34.033329010009766),4-13167,8809,34.033329010009766,-118.26519012451172,213.55856323242188,1678748849.0,nan,2023-03-13 16:07:29-07:00
STOPPED_AT,POINT (-118.4432601928711 34.04574203491211),4-13167,8803,34.04574203491211,-118.4432601928711,235.20973205566406,1678748808.0,nan,2023-03-13 16:06:48-07:00
IN_TRANSIT_TO,POINT (-118.28234100341797 34.091957092285156),4-13167,8801,34.091957092285156,-118.28234100341797,210.2577667236328,1678748849.0,11.891263961791992,2023-03-13 16:07:29-07:00
IN_TRANSIT_TO,POINT (-118.25533294677734 34.04499053955078),4-13167,8804,34.04499053955078,-118.25533294677734,217.16737365722656,1678748847.0,3.8445441722869873,2023-03-13 16:07:27-07:00
STOPPED_AT,POINT (-118.40125274658203 34.07325744628906),4-13167,8813,34.07325744628906,-118.40125274658203,50.35425567626953,1678748846.0,4.3809919357299805,2023-03-13 16:07:26-07:00
STOPPED_AT,POINT (-118.2601547241211 34.03824996948242),4-13167,8811,34.03824996948242,-118.2601547241211,36.751487731933594,1678748847.0,11.310111045837402,2023-03-13 16:07:27-07:00
IN_TRANSIT_TO,POINT (-118.35072326660156 34.090736389160156),4-13167,8825,34.090736389160156,-118.35072326660156,90.45079040527344,1678748850.0,nan,2023-03-13 16:07:30-07:00
STOPPED_AT,POINT (-118.44352722167969 34.047752380371094),4-13167,8823,34.047752380371094,-118.44352722167969,69.57807922363281,1678748850.0,0.044704001396894455,2023-03-13 16:07:30-07:00
IN_TRANSIT_TO,POINT (-118.24393463134766 34.05534744262695),4-13167,8829,34.05534744262695,-118.24393463134766,38.02622985839844,1678748846.0,7.197343826293945,2023-03-13 16:07:26-07:00
STOPPED_AT,POINT (-118.2843017578125 34.09088897705078),4-13167,8826,34.09088897705078,-118.2843017578125,86.44815826416016,1678748850.0,10.147808074951172,2023-03-13 16:07:30-07:00
STOPPED_AT,POINT (-118.25472259521484 34.07552719116211),4-13167,8827,34.07552719116211,-118.25472259521484,117.6438217163086,1678748846.0,nan,2023-03-13 16:07:26-07:00
IN_TRANSIT_TO,POINT (-118.40235137939453 34.072513580322266),4-13167,8834,34.072513580322266,-118.40235137939453,50.385467529296875,1678748846.0,4.425695896148682,2023-03-13 16:07:26-07:00
STOPPED_AT,POINT (-118.31633758544922 34.09080505371094),4-13167,4098,34.09080505371094,-118.31633758544922,269.89678955078125,1678748847.0,6.705599784851074,2023-03-13 16:07:27-07:00
IN_TRANSIT_TO,POINT (-118.47723388671875 34.0308837890625),4-13167,4151,34.0308837890625,-118.47723388671875,45.60279846191406,1678748848.0,4.872735500335693,2023-03-13 16:07:28-07:00
