Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_PLACE,Geo_CSA,SE_T004_019,SE_T004_001,SE_T004_003,SE_T004_005,SE_T004_007,SE_T004_009,SE_T004_011,SE_T004_013,SE_T004_015,SE_T004_017,SE_T005_019,SE_T005_001,SE_T005_003,SE_T005_005,SE_T005_007,SE_T005_009,SE_T005_011,SE_T005_013,SE_T005_015,SE_T005_017,SE_T006_019,SE_T006_001,SE_T006_003,SE_T006_005,SE_T006_007,SE_T006_009,SE_T006_011,SE_T006_013,SE_T006_015,SE_T006_017,SE_T017_020,SE_T017_002,SE_T017_004,SE_T017_006,SE_T017_008,SE_T017_010,SE_T017_012,SE_T017_014,SE_T017_016,SE_T017_018
"06037460001","Census Tract 4600.01","Census Tract 4600.01, Los Angeles County, California","00","06","037",,"460001",,,1609,1438,1018,51,2,302,1,7,57,171,1619.43971631206,1456.0378250591,1168.42080378251,88.8037825059102,0,157.813238770686,0,1,40,163.401891252955,-10.4397163120566,-18.0378250591018,-150.420803782506,-37.8037825059102,2,144.186761229314,1,6,17,7.59810874704493,-0.644649887667996,-1.23882942796281,-12.8738553178403,-42.5700138430412,,91.365440790952,,600,42.5,4.64995153286362
"06037460002","Census Tract 4600.02","Census Tract 4600.02, Los Angeles County, California","00","06","037",,"460002",,,3283,2795,1846,143,2,646,4,6,148,488,3231.56028368794,2798.9621749409,1995.57919621749,160.19621749409,2,504.186761229314,3,16,118,432.598108747045,51.4397163120566,-3.96217494089842,-149.579196217494,-17.1962174940898,0,141.813238770686,1,-10,30,55.4018912529551,1.59179194557225,-0.141558716883414,-7.49552794000923,-10.7344716143028,0,28.127124644232,33.3333333333333,-62.5,25.4237288135593,12.806780735454
"06037460101","Census Tract 4601.01","Census Tract 4601.01, Los Angeles County, California","00","06","037",,"460101",,,5846,4940,3522,600,2,451,3,52,310,906,5793.01951239717,5091.01801144354,3750.00450286088,738.012007629026,10,353,4,26,210.001500953628,702.001500953628,52.9804876028338,-151.018011443539,-228.004502860885,-138.012007629026,-8,98,-1,26,99.9984990463718,203.998499046372,0.914557382198603,-2.96636175916255,-6.08011277551639,-18.7005097752285,-80,27.7620396600567,-25,100,47.6179925344691,29.0595531162329
"06037460200","Census Tract 4602","Census Tract 4602, Los Angeles County, California","00","06","037",,"460200",,,5561,4355,2218,1393,6,343,6,46,343,1206,5314.98048760283,4422.98198855646,1969.99549713912,1913.98799237097,16,246,3,44,229.998499046372,891.998499046372,246.019512397167,-67.9819885564611,248.004502860885,-520.987992370974,-10,97,3,2,113.001500953628,314.001500953628,4.62879427254731,-1.53701707880227,12.5890898340145,-27.2200240778728,-62.5,39.4308943089431,100,4.54545454545455,49.1314079970779,35.2020212241752
"06037460301","Census Tract 4603.01","Census Tract 4603.01, Los Angeles County, California","00","06","037",,"460301",,,4733,3636,1774,1139,4,329,0,22,368,1097,4637.98324263231,3726.985476948,1594.99515898267,1615.99031796534,10,218,7,21,260,910.997765684308,95.0167573676881,-90.985476948003,179.004841017332,-476.990317965335,-6,111,-7,1,108,186.002234315692,2.04866538745321,-2.44126191289885,11.2229081078532,-29.5169044432089,-60,50.9174311926606,-100,4.76190476190476,41.5384615384615,20.4174193748954
"06037460302","Census Tract 4603.02","Census Tract 4603.02, Los Angeles County, California","00","06","037",,"460302",,,4273,2620,1078,1062,3,198,3,39,237,1653,4452.10730350625,2581.83177865786,746.188392933103,1504.50990573455,10.0549129428954,142.719691753279,1,31.1117670510037,146.247108243029,1870.27552484839,-179.107303506246,38.1682213421386,331.811607066897,-442.509905734551,-7.05491294289541,55.280308246721,2,7.8882329489963,90.7528917569707,-217.275524848385,-4.02297813813227,1.47833881578373,44.467537984961,-29.4122294607627,-70.1638391397537,38.7334834931431,200,25.3544999101612,62.0544863055754,-11.617300336858
"06037460401","Census Tract 4604.01","Census Tract 4604.01, Los Angeles County, California","00","06","037",,"460401",,,1063,716,238,305,0,100,0,14,59,347,1030.04116737991,732.329691371538,162.980657120939,412.356388792121,2.94508705710459,100.426860920499,3,8.8882329489963,41.7324645318789,297.711476008375,32.9588326200869,-16.3296913715383,75.0193428790614,-107.356388792121,-2.94508705710459,-0.426860920498754,-3,5.1117670510037,17.2675354681211,49.2885239916253,3.19975877312976,-2.22982784447198,46.029598974677,-26.0348552150703,-100,-0.425046562828118,-100,57.5116232926921,41.376745087582,16.5558025012912
"06037460501","Census Tract 4605.01","Census Tract 4605.01, Los Angeles County, California","00","06","037",,"460501",,,5555,5146,2905,22,6,1875,0,25,313,409,5406.47672945815,5086.87522532582,3379.82444633379,26.1337054733279,1,1521.96839042702,3,16.9880426444331,137.960640447257,319.60150413232,148.523270541855,59.1247746741756,-474.824446333788,-4.13370547332794,5,353.031609572982,-3,8.01195735556695,175.039359552743,89.3984958676795,2.74713603653558,1.16230047043052,-14.0487902218959,-15.8175252933297,500,23.1957254693005,-100,47.1623336676309,126.876302534752,27.9718633084615
"06037460502","Census Tract 4605.02","Census Tract 4605.02, Los Angeles County, California","00","06","037",,"460502",,,4495,4128,2272,28,16,1553,1,34,224,367,4417,4137,2717,16,0,1259,0,4,141,280,78,-9,-445,12,16,294,1,30,83,87,1.76590446004075,-0.217548948513416,-16.3783584836216,75,,23.3518665607625,,750,58.8652482269503,31.0714285714286
"06037460601","Census Tract 4606.01","Census Tract 4606.01, Los Angeles County, California","00","06","037",,"460601",,,5488,4959,3051,46,0,1556,0,38,268,529,5387.44830286367,5055.02250496315,3701.47029248166,25,3,1151.70060605675,0,13.0119573555669,160.839649069167,332.425797900518,100.551697136332,-96.0225049631499,-650.470292481664,21,-3,404.299393943249,0,24.9880426444331,107.160350930833,196.574202099482,1.86640671953891,-1.89954653750547,-17.5732949634334,84,-100,35.1045568455077,,192.039075763973,66.6255811617382,59.1332572083677
"06037460700","Census Tract 4607","Census Tract 4607, Los Angeles County, California","00","06","037",,"460700",,,5035,4623,2899,33,2,1424,1,32,232,412,5033.02534035681,4698.14017572793,3294.42691154729,34.0050877120591,0,1247.6858859178,1.00524483547607,16.002622417738,105.014423297559,334.885164628879,1.97465964319417,-75.1401757279273,-395.426911547293,-1.00508771205907,2,176.314114082197,-0.0052448354760672,15.997377582262,126.985576702441,77.1148353711213,0.0392340492975579,-1.59936002157035,-12.0029043643762,-2.95569804309793,,14.1312902608095,-0.521747070064118,99.9672251501088,120.922034054909,23.0272474018311
"06037460800","Census Tract 4608","Census Tract 4608, Los Angeles County, California","00","06","037",,"460800",,,3219,2804,2005,56,1,587,1,18,136,415,3248.56150009109,2960.52491191717,2345.33605029177,81.0027057693181,1,421.112109551726,0.0176226471995857,7.00881132359979,105.047612333558,288.036588173924,-29.5615000910902,-156.524911917167,-340.336050291766,-25.0027057693181,0,165.887890448274,0.982377352800414,10.9911886764002,30.952387666442,126.963411826076,-0.90998739258165,-5.28706619853455,-14.5111848790039,-30.8665069047465,0,39.3928093459155,5574.51636904762,156.81958279275,29.4651034696142,44.0789181093245
"06037460900","Census Tract 4609","Census Tract 4609, Los Angeles County, California","00","06","037",,"460900",,,6893,3068,935,1325,17,514,4,43,230,3825,6998,3085,603,1931,9,358,5,19,160,3913,-105,-17,332,-606,8,156,-1,24,70,-88,-1.50042869391255,-0.551053484602917,55.0580431177446,-31.3827032625583,88.8888888888889,43.5754189944134,-20,126.315789473684,43.75,-2.24891387682085
"06037461000","Census Tract 4610","Census Tract 4610, Los Angeles County, California","00","06","037",,"461000",,,5817,2688,832,1302,12,275,6,45,216,3129,6081,2776,510,1865,15,192,3,12,179,3305,-264,-88,322,-563,-3,83,3,33,37,-176,-4.34139121854958,-3.1700288184438,63.1372549019608,-30.1876675603217,-20,43.2291666666667,100,275,20.6703910614525,-5.32526475037821
"06037461100","Census Tract 4611","Census Tract 4611, Los Angeles County, California","00","06","037",,"461100",,,4894,2969,1539,877,5,299,4,38,207,1925,4844,2946,1276,1229,8,241,3,11,178,1898,50,23,263,-352,-3,58,1,27,29,27,1.03220478943022,0.780719619823489,20.6112852664577,-28.6411716842962,-37.5,24.0663900414938,33.3333333333333,245.454545454545,16.2921348314607,1.42255005268704
"06037461200","Census Tract 4612","Census Tract 4612, Los Angeles County, California","00","06","037",,"461200",,,4555,3754,2737,329,4,388,1,21,274,801,4443,3816,2919,423,8,274,1,11,180,627,112,-62,-182,-94,-4,114,0,10,94,174,2.52081926626154,-1.62473794549266,-6.23501199040767,-22.2222222222222,-50,41.6058394160584,0,90.9090909090909,52.2222222222222,27.7511961722488
"06037461300","Census Tract 4613","Census Tract 4613, Los Angeles County, California","00","06","037",,"461300",,,6533,5230,3847,366,10,597,24,30,356,1303,6638,5475,4141,447,8,542,40,31,266,1163,-105,-245,-294,-80.9999999999999,2,55,-16,-1,90,140,-1.58180174751431,-4.47488584474886,-7.09973436368027,-18.1208053691275,25,10.1476014760148,-40,-3.2258064516129,33.8345864661654,12.0378331900258
"06037461400","Census Tract 4614","Census Tract 4614, Los Angeles County, California","00","06","037",,"461400",,,2939,2204,1580,204,6,244,8,12,150,735,3204,2523,1802,285,2,295,21,14,104,681,-265,-319,-222,-81,4,-51,-13,-2,46,54,-8.270911360799,-12.6436781609195,-12.3196448390677,-28.4210526315789,200,-17.2881355932203,-61.9047619047619,-14.2857142857143,44.2307692307692,7.9295154185022
"06037461501","Census Tract 4615.01","Census Tract 4615.01, Los Angeles County, California","00","06","037",,"461501",,,3508,1778,969,375,2,256,4,15,157,1730,3700,1772,882,539,7,223,5,7,109,1928,-192,6,87,-164,-5,33,-1,8,48,-198,-5.18918918918919,0.338600451467269,9.86394557823129,-30.4267161410019,-71.4285714285714,14.7982062780269,-20,114.285714285714,44.0366972477064,-10.2697095435685
"06037461502","Census Tract 4615.02","Census Tract 4615.02, Los Angeles County, California","00","06","037",,"461502",,,5748,2429,1082,844,10,337,3,14,139,3319,6563,2776,1114,1294,9,248,1,20,90,3787,-815.000000000001,-347,-32,-450,1,89,2,-6,49,-468,-12.4181014779826,-12.5,-2.87253141831239,-34.7758887171561,11.1111111111111,35.8870967741936,200,-30,54.4444444444444,-12.3580670715606
"06037461600","Census Tract 4616","Census Tract 4616, Los Angeles County, California","00","06","037",,"461600",,,5435,2279,650,838,17,557,0,38,179,3156,5826,2334,476,1280,14,457,3,7,97,3492,-391,-55,174,-442,3,100,-3,31,82,-336,-6.71129419842087,-2.35646958011997,36.5546218487395,-34.53125,21.4285714285714,21.8818380743982,-100,442.857142857143,84.5360824742268,-9.62199312714777
"06037461700","Census Tract 4617","Census Tract 4617, Los Angeles County, California","00","06","037",,"461700",,,1492,1206,742,203,0,181,0,17,63,286,1385,1170,770,266,2,96,0,6,30,215,107,36,-28,-63,-2,85,0,11,33,71,7.72563176895307,3.07692307692308,-3.63636363636364,-23.6842105263158,-100,88.5416666666667,,183.333333333333,110,33.0232558139535
"06037461901","Census Tract 4619.01","Census Tract 4619.01, Los Angeles County, California","00","06","037",,"461901",,,4609,1748,730,417,10,416,27,26,122,2861,5118,1645,632,594,7,315,1,7,89,3473,-509,103,98,-177,3,101,26,19,33,-612,-9.9452911293474,6.26139817629179,15.5063291139241,-29.7979797979798,42.8571428571429,32.0634920634921,2600,271.428571428571,37.0786516853933,-17.621652749784
"06037461902","Census Tract 4619.02","Census Tract 4619.02, Los Angeles County, California","00","06","037",,"461902",,,2142,1712,784,216,4,577,5,24,102,430,1654,1384,725,241,6,350,0,6,56,270,488,328,59,-25,-2,227,5,18,46,160,29.5042321644498,23.6994219653179,8.13793103448276,-10.3734439834025,-33.3333333333333,64.8571428571429,,300,82.1428571428571,59.2592592592593
"06037462001","Census Tract 4620.01","Census Tract 4620.01, Los Angeles County, California","00","06","037",,"462001",,,3501,1303,535,361,3,255,3,29,117,2198,3974,1319,443,630,10,163,1,12,60,2655,-473,-16,92,-269,-7,92,2,17,57,-457,-11.9023653749371,-1.21304018195603,20.7674943566591,-42.6984126984127,-70,56.441717791411,200,141.666666666667,95,-17.2128060263654
"06037462002","Census Tract 4620.02","Census Tract 4620.02, Los Angeles County, California","00","06","037",,"462002",,,3801,1178,301,520,3,250,4,19,81,2623,3942,1218,269,742,5,162,7,7,26,2724,-141,-40,32,-222,-2,88,-3,12,55,-101,-3.57686453576865,-3.28407224958949,11.8959107806691,-29.9191374663073,-40,54.320987654321,-42.8571428571429,171.428571428571,211.538461538462,-3.70778267254038
